Requirement Number,Status,Operating Entity,Group,Unit/ Directorate,Owner Ranking,Title,Justification,Impact if not Funded,"Priority Level (0, 1, 2, A, E)",PEC,BA,SAG,Panel,EEIC,Object Class,ESP,Cost Center,AAI , Requirement Total , Wing Funded Total  , Unfunded Total based on Wing Funded ,PEM Remarks,HQ FMA Remarks, EP Funded Amount , Unfunded Amount Based on EP Funding , Need By Date ,Method of Purchase,Is Recurring,Final FY,Is Civ Pay,Contract Number ,PoP Start Date,PoP End Date,Created By Org,AFGSC/FMAO Reveiwed By
2022-F6790-000150,In Work,F6790,Maintenance Group,2 MXG,,Mission TDY,"Support required for Weapons system reviews, group commander tdys, Resource Advisor certification tdys, and unit funded training (JEMIC, Advanced Metallugy and Computer numeric control, Ultrasonic Inspection, Aircraft metal bonding, Composite Repair, CDDAR, Engine Management, Instructor courses, ISD, and Production Super Courses)",Failure to fund will result in personnel not being able to maintain certifications and/or trainings for their positions.  2 MXG supervision would not be involved with crucial decision making concerning the B-52 and munitions assigned to 2 MXG.,1,11113F,,011A,E,40924,2101101,,342600,387700,"50,000.00",,"50,000.00",,,,"50,000.00",,DTS,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000151,In Work,F6790,Maintenance Group,2 MXG,,PPE,"The 250 personnel assigned to 2 MXG staff  required various Personnel Protective Equipment to perform their duties.  Purchases include safety toe boots, coveralls, work gloves, hearing protection, reflective belts, safety glasses, and camelbacks. Personnel are mandated to wear proper PPE items when performing primary duties (AFI 21-101, OSHA 1910.95, OSHA 1910.136, and Occupational Safety and Health Act of 1970).  Cold/wet weather gear is required for BAFB flight line operations and operations withing the weapons storage area.  Cold/wet weather gear such as fleece and APECS items are issued to personnel.  The mandatory wear date for the OCP uniform is April 2021, requiring an additional 100% issue of OCP wet weather gear.","Personnel will be affected by weather leading to sickness.  Additionally exposure to loud noise and industrial area hazards can lead to physical injuries or death.  On average, Barksdale receives rain 127/365 days a year and temperatures during the months Dec through Mar range 38 - 59 degrees Fahrenheit.  Without rain gear/cold weather gear, Barksdale would be unable to launch or work on aircraft during these times.",2,11113F,,011A,E,61956,2603327,,342600,387700,"50,000.00",,"50,000.00",,,,"50,000.00",,GPC,No,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000152,In Work,F6790,Maintenance Group,2 MXG,,CELLULAR PHONES,"2 MXG provides cell phone service for 2 MXG Staff and subordinate squadrons.  Cell phones are users include but are not limited to Group and Squadron Commanders and Deputies, Weapons Managers, Squadron Maintenance Officers and Chiefs, Line Delivery, Quality Assurance Chief, and other key personnel.",Without wireless communications leadership may not be able to be contacted to make critical decisions.,2,11113F,,011A,E,61950,2603312,,342600,387700,"36,000.00",,"36,000.00",,,,"36,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000153,In Work,F6790,Maintenance Group,2 MXG,,Computer software and licensing,"Plans and Analysis uses Monarch Software in creating their weekly schedules and reports and all of the squadrons assigned to 2 MXG use TCMaxx for their tool control program.  These licenses require annual renewal and purchasing them at the group level as one purchase, provides a price break versus the squadrons purchasing the licensing individually.  Computer based training is required for the AFSCs that no longer have CDCs assigned to their spread-out.",Weekly flying schedules would be unable to be produced; positive control of tools issued could not be maintained causing possible FOD on flight line with eventual damage to aircraft engines; the personnel with no CDCs would be unable to fully understand the intricacies of computer programs at their disposal.,1,11113F,,011A,E,61950,2603312,,342600,387700,"25,000.00",,"25,000.00",,,,"25,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000154,In Work,F6790,Maintenance Group,2 MXG,,REPLACEMENT MULES,"Mules are required to transport personnel and equipment from the shops to the aircraft.  The mules have an expected lifespan of 10 years, and of the 61 mules assigned throughout 2 MXG, 13 mules are (or will be during FY21) over their 10 year life expectancy and require replacement and the repairs associated with these aging mules is far exceeding the depreciated value of the mule and is not cost effective to repair.  The bulk of the mules owned by 2 MXG were purchased in 2011 and 2012 (total of 41 mules), and 2 MXG requires recurring funds of $100k to replace 8 mules yearly to establish an replacement schedule by FY27.","Lack of funding will cause reduced response time to aircraft, due to lack of transportation.  Productive man-hours will decrease proportionally because personnel will spend more time waiting on a ride from the shop to the aircraft.",2,11113F,,011A,E,63900,3106301,,342600,387700,"100,000.00",,"100,000.00",,,,"100,000.00",,FORM 9,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000155,In Work,F6790,Maintenance Group,2 MXG,,"PRINTER, MONITOR, AND SCANNER REPLACEMENTS","Printers assigned to 2 MXG are no longer under warranty and repairs to the aged printers have reached a level where they are costing $400-$600 per repair and are no longer cost effective.  When the printers associated with the DAPS copier contract expire, 2 MXG does not plan on renewing these contracts, but require printers/copiers in place to manage the volume of required printing.  The MPF is no longer printing award and retirement certificates, and this responsibility has been shifted down to the group and squadron level.  Monitors for the desktop computers and laptops is not part of the base tech refresh schedule and require replacement every few years.  Scanners are required to scan documents that are required to be sent electronically.  The desired plan is to get the printers assigned to 2 MXG on a 4-year replacement schedule where the repairs will be covered under warranty from the manufacturer.","2 MXG will have to continue repairing the current printers until they are no longer repairable, which would cause misuse of taxpayer dollars since a 4-year replacement schedule could be established and repairs would be accomplished under warranty.",2,11113F,,011A,E,61950,2603312,,342600,387700,"30,000.00",,"30,000.00",,,,"30,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000156,In Work,F6790,Maintenance Group,2 AMXS,,Flying Hour - Tool/Support Equipment Purchases,Purchase of consumables made either by GPC/Form 9 that are directly related to aircraft maintenance.  This covers items such as tools and support equipment for continued B-52 repair.,"We will not be equipped to perform daily maintenance or modernize our equipment/procedures.  We will lose the ability to repair aircraft, directly affecting the flying hour program and the mission of AFGSC.",A,11113F,,011Y,E,61952,2603313,,XXFISU,387700,"140,000.00",,"140,000.00",,,,"140,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000157,In Work,F6790,Maintenance Group,2 MUNS,,XB-3 Supply Consumables,"Purchase of banding material, wadding, explosive/shipping labels, oil, adhesives, esd straps, dunnage, paint, sealers, and other items not covered under the flying hour program needed to sustain everyday munition operations in support of B-52 mission.  ","Without funding, unable to generate and certify safe munitions for delivery for the B-52 mission.  Also, unable to service and maintain the ejection racks and launchers the munitions are attached to.",1,11113F,,011A,E,61950,2602306,,34FIE9,667100,"50,000.00",,"50,000.00",,,,"50,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000158,In Work,F6790,Maintenance Group,2 MUNS,,Mission TDY,"Mobile Muns Inspector Course, HAZDEC Prep/Cert Course are held annually and required to certify Munitions Personnel to perform duties as outlined in AFMAN21-201.","Failure to provide this funding will result in a reduced ability to perform daily tasks, work stoppage, and delays in shipping/inspecting/receiving munitions assets due to the limited number of trained personnel.",1,28030F,,021D,T,40924,2101101,,34FIE9,387700,"16,100.00",,"16,100.00",,,,"16,100.00",,DTS,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000159,In Work,F6790,Maintenance Group,2 MUNS,,Office Supplies (WRM),"IT equipment needed to perform daily work task, to include scan snap scanners, printer paper, trash cans, office supplies, printers, ink cartridges and other necessary items to maintain the mission",Without this will severely slow down the work effort.  Need this for everyday use.,2,28030F,,021D,T,61950,2603312,,34FIE9,387700,"21,000.00",,"21,000.00",,,,"21,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000160,In Work,F6790,Maintenance Group,2 MUNS,,Fire Extinguisher Inspection/Repair,"Per AFI91-203 Fire Extinguisher inspections are required on an Annual, three and six year requirement.  During these inspections fire extinguishers are found to be in need of servicing, repair or replacement.",Without will not have the capability to provide a safe work environment and not be able to do maintenance per AFI21-100,2,11122F,,011A,E,61950,2603312,,34A250,387700,"1,500.00",,"1,500.00",,,,"1,500.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000161,In Work,F6790,Maintenance Group,2 MUNS,,CTK Repair/Replacement,"Required for old, used and work CTKs that are in need of severe repair or replacement.",Failure to fund will result in continued degradement of equipment and unserviceable items.,2,11122F,,011A,E,63900,3106301,,34A250,387700,"10,000.00",,"10,000.00",,,,"10,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000162,In Work,F6790,Maintenance Group,2 MUNS,,Office Supplies,"General office supplies to conduct day-to-day operations.  Includes paper, pens, notepads, binders, grease pens, highlighters and other supplies.","Without will be severely hampered to provide products for meetings, inspections or other items required by AFI.",2,11122F,,011A,E,61950,2603312,,34A250,387700,"4,000.00",,"4,000.00",,,,"4,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000163,In Work,F6790,Maintenance Group,2 MUNS,,Vehicle Repair,Provides for vehicle repairs that have been deemed abuse by LRS.,Lack of funding will result in vehicles not being released back to the unit resulting in an inability to transport personnel and equipment to the flight line for aircraft maintenance.,E,11122F,,011A,E,61950,2603312,,34A250,387700,"2,000.00",,"2,000.00",,,,"2,000.00",,GPC,No,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000164,In Work,F6790,Maintenance Group,2 MUNS,,VEHICLE FUEL,"Ground fuel used to transport munitions from storage bunkers to workcenters, personnel from parking area to workcenters, and deliver munitions from munitions storage area to aircraft on the flightline",Lack of funding will result in the inability for 2d Bomb Wing to maintain its Mission since munitions cannot be delivered without fuel.  Munitions personnel will be unable to transport the munitions from the storage bunkers to the maintenance facilities to prep the munitions for loading (approximately 1/2 mile to mile distance).  Munitions will not be able to be delivered from the munitions storage area to the flightline to be uploaded on the aircraft (2-4 miles).  2d Munitions squadron will be unable to run a shuttle bus within the munitions storage area causing personnel to walk to their workcenters from the parking lot (up to 1 mile depending on the facility they work in).,0,11113F,,011A,E,641,2601301,,34FIE9,387700,"10,000.00",,"10,000.00",,,,"10,000.00",,SUPPLY,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000165,In Work,F6790,Maintenance Group,2 MUNS,,Mission TDY,Mission TDYs for MASO training and munitions conferences.  Cost based on 5yr average.,"Failure to fund results in unqualified munitions operations specialist (which could lead to improper accountability of munitions, missiles, and warheads assigned to Barksdale AFB).  Munitions Supervision would not be up to date on various matters that occurs in regarding the mission and munitions assigned/going to be assigned to Barksdale AFB.",1,11113F,,011A,E,40924,2101101,,34FIE9,387700,"15,000.00",,"15,000.00",,,,"15,000.00",,DTS,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000166,In Work,F6790,Maintenance Group,2 MUNS,,Fire Extinguisher Inspection/Repair,"Per AFI91-203 Fire Extinguisher inspections are required on an Annual, three and six year requirement.  During these inspections fire extinguishers are found to be in need of servicing, repair or replacement.",Without will not have the capability to provide a safe work environment and not be able to do maintenance per AFI21-101,2,11113F,,011A,E,61950,2603312,,34FIE9,387700,"2,000.00",,"2,000.00",,,,"2,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000167,In Work,F6790,Maintenance Group,2 MUNS,,Hoist Inspection/Repair,Annual Hoist checkout inspections repairs from damage and wear,No funding will result in impact on funds allotted to other mission requirements.  Will result in an inability to do hoisting of equipment while hoist is not usable.,2,11113F,,011A,E,61950,2603312,,34FIE9,387700,"5,000.00",,"5,000.00",,,,"5,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000168,In Work,F6790,Maintenance Group,2 MUNS,,Readiness Recapitalization,"Provides operating materials supporting deployment of 250 personnel.  Items include and not limited to tools, specialty tools, cleaning supplies, equipment, stencil machines, personnel protective equipment and other deployment related items.  Due to mission change and a command wide change in readiness posture.","Without funding, the 2d Munitions Squadron would be unable to deploy to multiple locations.  Items are required to have fully operational readiness.",1,11113F,,011A,E,61950,2603312,,34FIE9,387700,"100,000.00",,"100,000.00",,,,"100,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000169,In Work,F6790,Maintenance Group,2 MUNS,,Medical Supplies,Provides for the replacement and replenishment of first aid kits for six shops that is a mandatory requirement per AFI91-203.  This is to include supplies for AED that need replenishment.,"Without funding, will not have the adequate medical supplies on hand to assist in case of an emergency.",1,11113F,,011A,E,604,2602201,,34FIE9,667100,400.00,,400.00,,,,400.00,,MED SUPPLY,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000170,In Work,F6790,Maintenance Group,2 MUNS,,Cart/Trailer Caddies,"Required to move equipment and maintenance stands for two maintenance areas.  The MSEM equipment required to be moves are MHU141, MHU110, and the MHU226 trailers.  These trailers weigh between 2,400 pounds and 4,270 sounds.  To perform maintenance on these trailers, personnel have to manually push/pull the trailer from an outside staging pad, up a 5-10% incline, to get trailers inside the maintenance facility.","Lack of funding will require munitions personnel to continue operations as currently performed creating a situation where personnel are injuring themselves or damaging equipment.  Loss of man-hours because it takes twice as many people to push a trailer manually, and in inclement weather takes even more personnel to get the trailer up the incline.",,11113F,,011A,E,61900,2603301,,34FIE9,387700,"32,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000171,In Work,F6790,Maintenance Group,2 MUNS,,CTK Repair/Replacement,"Required for old, used and work CTKs that are in need of severe repair or replacement.",Failure to fund will result in continued degradement of equipment and unserviceable items.,2,11113F,,011A,E,61950,3106301,,34FIE9,387700,"5,000.00",,"5,000.00",,,,"5,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000172,In Work,F6790,Maintenance Group,2 MUNS,,Office Supplies,"General office supplies to conduct day-to-day operations.  Includes paper, pens, notepads, binders, grease pens, highlighters and other supplies.","Without will be severely hampered to provide products for meetings, inspections or other items required by AFI.",2,11113F,,011A,E,61950,2603312,,34FIE9,387700,"6,000.00",,"6,000.00",,,,"6,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000173,In Work,F6790,Maintenance Group,2 MUNS,,Floor Scrubbers,"Floor scrubbers for four maintenance areas that are required to maintain safe environment by cleaning the floors of the maintenance area to keep them clean and free from residue and chemicals.  Done manually, it takes 8 hours with several personnel to clean the floors and with the floor scrubber, one person can do the same job in 2-3 hours.","Floors will have to be cleaned by personnel manually mopping and scrubbing floors to remove the chemical residue from the floors that settles from the atmosphere to prevent floors from getting slick.  If floors are not cleaned properly, personnel will slip causing injury to themselves or the equipment around them.",,11113F,,011A,E,63900,3106301,,34FIE9,387700,"30,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000174,In Work,F6790,Maintenance Group,2 MUNS,,Vehicle Repair,Provides for vehicle repairs that have been deemed abuse by LRS.,Lack of funding will result in vehicles not being released back to the unit resulting in an inability to transport personnel and equipment to the flight line for aircraft maintenance.,E,11113F,,011A,E,61950,2603312,,34FIE9,387700,"4,000.00",,"4,000.00",,,,"4,000.00",,GPC,No,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000175,In Work,F6790,Maintenance Group,2 MUNS,,Squadron Awards,"Provide awards to Airman, to include Annual, Quarterly, Diamond Sharp, ALS Pens and other upcoming items.",This will cause a lack of member recognition which will subtract from unit morale and cohesion.,E,11113F,,011A,E,61950,2603312,,34FIE9,387700,"4,000.00",,"4,000.00",,,,"4,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000176,In Work,F6790,Maintenance Group,2 MUNS,,Ice Machines,Working outdoors for prolonged periods of time around the weapon storage area helps Airman have cold drinks when refilling 5 gallon water jugs.  Helps with the hot days.,Without will continue to drink warm water from the tap when working out on jobs.,E,11113F,,011A,E,61950,2603312,,34FIE9,387700,"12,000.00",,"12,000.00",,,,"12,000.00",,GPC,No,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000177,In Work,F6790,Maintenance Group,2 MUNS,,Furniture,Fund furniture for outdated and aging office areas.  Desks are old and worn and chairs are duct taped together.  Aesthetically unpleasing to look at.,Updating these office areas would greatly enhance the workplace atmosphere.  Updating it is in line with AFGSC strategic plan in providing a credible force.,E,11113F,,011A,E,6390A,3106310,,34FIE9,387700,"20,000.00",,"20,000.00",,,,"20,000.00",,GPC,No,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000178,In Work,F6790,Maintenance Group,2 MUNS,,Furniture,Fund furniture for new AFSC that is coming online for AFGSC future mission requirements.  Manning will increase in sections and are in need of more adequate workspace.,Without funding will not have the workspace required for new Airman coming into the workplace.,E,11122F,,011A,E,6390A,3106310,,34A250,387700,"20,000.00",,"20,000.00",,,,"20,000.00",,GPC,No,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000179,In Work,F6790,Operations Group,AFMSS,,CONSUMABLES/SUSTAINMENT,"AFMSS Support 2 Contractors and entire 2d OG (4 Squadrons) Gov't Purchase Card purchases for required consumable items, for the Air Force Mission Systems Program replacement of non-fly equipment, items not categorized as flying hour authorized/approved.","If not funded, it would be forced to reduce the necessary consumables.  Lack of funding would result in failure of Flying Missions and all planning assosiated with Daily Flying Operations. ",2,28006F,,011C,J,61950,2603312,,331000,387700,"30,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000180,In Work,F6790,Operations Group,ATCALS,,Supply CONSUMABLES/SUSTAINMENT,"ATCAL (Tower)  consist of 43 individuals in 3 shops airfield ops, RAWS, (Flight instrument specialist) and tower cab.  They Service Barksdale AFB and all tenants assigned. This funding is required to keep the airfield fully operational by purchasing parts thru base supply that is not covered thru non fly DLR requirements.  This covers all aspects of keep the tower and all items associated with land/ taxiing and crew safety of the airfield",Lack of funding would result in failure of equipment that would make the airfield unable to open for incoming aircraft and would put a halt to all training out of Barksdale AFB,1,35114F,,012A,J,609,2602306,,3311M0,667100,"20,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000181,In Work,F6790,Operations Group,ATCALS,,Window Shades for tower Cab,Tower shades in disrepair. Provides for new automatic shade system that is electrically controlled,replace worn out motorized window shades for the tower cab.  Ensures quality of life and safety concerns.  FAA requires all tower CAB to have an approved FAA shade system to ensure the safety of all aircraft in the tower airspace and ramp operations,,35114F,,012A,J,61900,2603301,,3311M0,387700,"40,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000182,In Work,F6790,Operations Group,ATCALS,,Mission TDY,"ATCAL (Tower)  consist of 43 individuals in 3 shops airfield ops, RAWS, (Flight instrument specialist) and tower cab. This is for individuals going TDY for upgrade training school and conferences not paid for by AETC .","Without funding, will be unable to keep manning requirements for equipment verification specialist and up to date on various matters that occurs in regards to the mission. Mission TDYs required for flight crews, A/C sortie generation, aircraft Divert, 2BW supported Airshows, Weapons System Reviews and specialist mandated training (not AETC funded).",2,35114F,,012A,J,40924,2101101,,3311M0,387700,"30,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000183,In Work,F6790,Basewide,Basewide,,Civilian Pay,UMD Funded @ 97% w/1.5% inc,Civilian Pay N/A,0,18534F,,011Z,N,111RG,11100RG,,300500,387700,"5,489,358.00",,,,,,,,,,,Yes,,,,2nd Bomb Wing (ALO),
2022-F6790-000184,In Work,F6790,Basewide,Basewide,,Civilian Pay,UMD Funded @ 97% w/1.5% inc,Civilian Pay N/A,0,18539F,,011Z,N,111RG,11100RG,,3A4342,387700,"580,403.00",,,,,,,,,,,Yes,,,,2nd Bomb Wing (ALO),
2022-F6790-000185,In Work,F6790,Basewide,Basewide,,Civilian Pay,UMD Funded @ 97% w/1.5% inc,Civilian Pay N/A,0,18540F,,011Z,L,111RG,11100RG,,3A2400,387700,"1,492,077.00",,,,,,,,,,,Yes,,,,2nd Bomb Wing (ALO),
2022-F6790-000186,In Work,F6790,Basewide,Basewide,,Civilian Pay,UMD Funded @ 97% w/1.5% inc,Civilian Pay N/A,0,18542F,,011Z,L,111RG,11100RG,,3A2400,387700,"1,529,661.00",,,,,,,,,,,Yes,,,,2nd Bomb Wing (ALO),
2022-F6790-000187,In Work,F6790,Basewide,Basewide,,Civilian Pay,UMD Funded @ 97% w/1.5% inc,Civilian Pay N/A,0,18550F,,011Z,Y,111RG,11100RG,,3A4200,387700,0.00,,,,,,,,,,,Yes,,,,2nd Bomb Wing (ALO),
2022-F6790-000187,In Work,F6790,Basewide,Basewide,,Civilian Pay,UMD Funded @ 97% w/1.5% inc,Civilian Pay N/A,0,33005F,,011Z,Y,111RG,11100RG,,3A4200,387700,"1,052,015.00",,,,,,,,,,,Yes,,,,2nd Bomb Wing (ALO),
2022-F6790-000188,In Work,F6790,Basewide,Basewide,,Civilian Pay,UMD Funded @ 97% w/1.5% inc,Civilian Pay N/A,0,18560F,,011Z,P,111RG,11100RG,,3A4100,387700,"486,000.00",,,,,,,,,,,Yes,,,,2nd Bomb Wing (ALO),
2022-F6790-000189,In Work,F6790,Basewide,Basewide,,Civilian Pay,UMD Funded @ 97% w/1.5% inc,Civilian Pay N/A,0,18561F,,011Z,P,111RG,11100RG,,3A4131,387700,"802,660.00",,,,,,,,,,,Yes,,,,2nd Bomb Wing (ALO),
2022-F6790-000190,In Work,F6790,Basewide,Basewide,,Civilian Pay,UMD Funded @ 97% w/1.5% inc,Civilian Pay N/A,0,28854F,,011Z,N,111RG,11100RG,,3A4419,387700,"162,952.00",,,,,,,,,,,Yes,,,,2nd Bomb Wing (ALO),
2022-F6790-000191,In Work,F6790,Basewide,Basewide,,Civilian Pay,UMD Funded @ 97% w/1.5% inc,Civilian Pay N/A,0,35111F,,012A,I,111RG,11100RG,,331370,387700,"90,791.00",,,,,,,,,,,Yes,,,,2nd Bomb Wing (ALO),
2022-F6790-000192,In Work,F6790,Basewide,Basewide,,Civilian Pay,UMD Funded @ 97% w/1.5% inc,Civilian Pay N/A,0,35114F,,012A,J,111RG,11100RG,,3311M0,387700,"356,324.00",,,,,,,,,,,Yes,,,,2nd Bomb Wing (ALO),
2022-F6790-000193,In Work,F6790,Basewide,Basewide,,Civilian Pay,UMD Funded @ 97% w/1.5% inc,Civilian Pay N/A,0,88738F,,042G,P,111RG,11100RG,,300191,387700,"499,632.00",,,,,,,,,,,Yes,,,,2nd Bomb Wing (ALO),
2022-F6790-000194,In Work,F6790,Basewide,Basewide,,Civilian Pay,UMD Funded @ 97% w/1.5% inc,Civilian Pay N/A,0,89732F,,033C,H,111RG,11100RG,,3A4140,387700,0.00,,,,,,,,,,,Yes,,,,2nd Bomb Wing (ALO),
2022-F6790-000194,In Work,F6790,Basewide,Basewide,,Civilian Pay,UMD Funded @ 97% w/1.5% inc,Civilian Pay N/A,0,84702f,,033C,P,111RG,11100rg,,3a4140,387700,"295,992.00",,,,,,,,,,,Yes,,,,2nd Bomb Wing (ALO),
2022-F6790-000195,In Work,F6790,Basewide,Basewide,,Civilian Pay,UMD Funded @ 97% w/1.5% inc,Civilian Pay N/A,0,91559F,,042G,P,111RG,11100RG,,300191,387700,"114,498.00",,,,,,,,,,,Yes,,,,2nd Bomb Wing (ALO),
2022-F6790-000196,In Work,F6790,Tenant Support,340 WPS,,Daily Consumables 340 WPS,Data provided by 340 WPS and was provided to A3,Budget was submitted to A3 Mr. Shawn Gander,,27597F,,011D,K,61950,2603312,,k01b60,387700,"39,450.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000197,In Work,F6790,Basewide,Contingency Operations,,TDY for Weapon School Students,Estimate provided provided to A3 separate by 340 WPS which is estimate for 10 students at $17k per student. Does not include any students from Minot AFB,Will not allow students to attend necessary TDY's that are required.,0,27597F,,011D,K,40924,2101101,WT,339010,387700,"170,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Maintenance Group,2 AMXS,,Medical Supplies,Replacement first aid kits for the B-52.,"2d Medical Group is unable to recertify all the first aid kits for the B-52 and on average we replace 30 kits per year. Without certified first aid kits, the aircrew would be unable to render first aid in case of an emergency during flight.",1,11113F,,011A,,604,2602201,,34FIG0,667100,"7,200.00",,"7,200.00",,,,"7,200.00",,MED SUPPLY,Yes,,No,,,,,
,,F6790,Maintenance Group,2 MUNS,,Hangar 8 Mezzanine,"Eliminates need to transport CRL ejection racks from Hangar 8 to Arm shop for service. Reduces manhours, environmental exposure of racks and time to ready CRLs for upload. ","Without funding would continue to expose ejection racks to environmental conditions, slow or prevent maintenance operations, and extend turn around time for CRL maintenance. ",2,11113F,,011A,,81406,3102406,,,387700,"80,000.00",,"80,000.00",,,,"80,000.00",,FORM 9,No,,No,,,,,
,,F6790,Maintenance Group,2 MUNS,,Control LMR Station,"Expands the funtionality of MUNS Control to be able to better monitor and communicate with base agencies (MOC, EOD, Security Forces, Fire Dept). This reduces response time and multiplies the effectiveness of response personnel. This would additionally enable MUNS control to receive multiple radio calls simultaneously, increasing mission effectiveness. ",Without funding would continue to use radio bank tuned to each agencency's individual frequency and/or call each agency's dispatch to relay messages increasing response time during hazardous conditions. ,E,11113F,,011A,,63780,3106211,,,387700,"270,000.00",,"270,000.00",,,,"270,000.00",,FORM 9,No,,No,,,,,
,,F6790,Maintenance Group,2 MXS,,Printer Repair/Replacement,Printers assigned to 2 MXG are no longer under warranty and repairs to the aged printers have reached a level where they are costing $400-$600 per repair and are no longer cost effective.  ,"2 MXG will have to continue repairing the current printers until they are no longer repairable, which would cause misuse of taxpayer dollars since a 4-year replacement schedule could be established and repairs would be accomplished under warranty.",2,11113F,,011A,E,61950,2603312,,342600,387700,"55,000.00",,"55,000.00",,,,"55,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Maintenance Group,2 MXS,,Squadron Compressor Maintenance,Preventative and Unscheduled MX for air compressor upkeep for the 12 units supporting acft & support equipment MX,Severe mission degredation will result due to maintenance personnel not being able to maintain backshop repairs of aircraft and support equipment parts. ,0,11113F,,011A,E,61950,3106301,,34FIJ0,387700,"25,000.00",,"25,000.00",,,,"25,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
,,F6790,Mission Support Group,2 CS,,"MILCON Alarms, LMR Repeater Migration, Access Controls, and CCTVs","Initial Purchase for new communications facility, building 3458, to be complete July 2021. Vindercator alarms are required in 4 areas to ensure security of resources and will be monitored by 2d Security Forces Squadron. The LMR repeaters serve as a bridge for communications being sent between LMR Dispatcher consoles and workers in the field using LMR handheld devices.  There’s no copper outside plant (OSP) cabling at Fire Station 3 so using a repeater there is not possible, the only solution is to put it on fiber from B4840 the LMR Master Site.  The Emergency Readiness repeater at B7251 has been down for some time and using antiquated unserviceable copper is not an option.  The SFS B6000 repeater is operational buts also needs to be transitioned to fiber for reliability and eliminate the need for moving more copper into the new consolidated communications facility. The Enterprise Cabling and Antenna Manager Mr. James McClain at Lackland AFB is also pushing the migration of all devices away from copper. Areas with in the facility will require lock system to track when and who opens doors. System is to ensure security of resources and accountability of individuals within access areas. CCTV's will be installed to capture entrance into areas within the facility that needs to be monitored. A total of 8 cameras, plus storage for up to 30 days. System will be monitored by 2d Security Forces Squadron.","2CS will not be able to secure or monitor new facility, or maintain emergency communication for Bldg 6000, 7251, and B8099 from our new facility. (Not previously funded)",1,33005F,,011Z,Y,63902,3106303,,3A4200,387700," 109,000.00 ",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
